Data_Hora,Id_Tweet,Tweet,Candidato,Tweet_limpo
2022-08-01 22:42:31+00:00,1554236160322539524,@ptbrasil @LulaOficial Na urra eletrônica fraudada você quer dizer né? Mas não vai dar não.,Lula,  na urra eletrônica fraudada você quer dizer né? mas não vai dar não.
2022-08-01 22:42:31+00:00,1554236158992961537,@LulaOficial @ricardostuckert Esse mente,Lula,  esse mente
2022-08-01 22:42:29+00:00,1554236153099870208,"@AdamBravo79 @AnarcoFino ""Muito melhor"" : 
Desistir da campanha 
Apoiar Lula
Aceitar ser ministro 
2026 ser eleito,caso Lula não escolher outro 
🤣🤣🤣",Lula,"  ""muito melhor"" : desistir da campanha apoiar lulaaceitar ser ministro 2026 ser eleito,caso lula não escolher outro 🤣🤣🤣"
2022-08-01 22:42:29+00:00,1554236151858331648,"@extraclassejor No Rio Grande do Sul, Edgar Pretto Governador do Rio Grande do Sul é 13 PT, em 02 de outubro, nas urnas eletrônicas. Olívio Dutra Senador do Rio Grande do Sul, é 13 PT. Lula Presidente é PT 13, em 02 de outubro, no primeiro turno, nas urnas eletrônicas.",Lula," no rio grande do sul, edgar pretto governador do rio grande do sul é 13 pt, em 02 de outubro, nas urnas eletrônicas. olívio dutra senador do rio grande do sul, é 13 pt. lula presidente é pt 13, em 02 de outubro, no primeiro turno, nas urnas eletrônicas."
2022-08-01 22:42:26+00:00,1554236139636129792,@LulaOficial @ricardostuckert https://t.co/vMx0w3qg6L,Lula,  
2022-08-01 22:42:26+00:00,1554236137555779585,Quem poderia imaginar? A filhotinha dos globalistas apoiando Lula... https://t.co/6uLQzF5wqX,Lula,quem poderia imaginar? a filhotinha dos globalistas apoiando lula... 
2022-08-01 22:42:25+00:00,1554236135274168323,@Flavio76852691 E o l Lula tá como? https://t.co/HkmLAPBuXy,Lula, e o l lula tá como? 
2022-08-01 22:42:24+00:00,1554236129527955456,O Lula é  um ladrão  profissional https://t.co/gw5n4V38ok,Lula,o lula é  um ladrão  profissional 
2022-08-01 22:42:23+00:00,1554236127434915840,@senadorhumberto @LulaOficial KKKKKK! SONHA DRÁCULA!,Lula,  kkkkkk! sonha drácula!
2022-08-01 22:42:23+00:00,1554236124809273344,@kimpaim E o PT em? E o Lula?,Lula, e o pt em? e o lula?
2022-08-01 22:42:22+00:00,1554236122737385475,Ciro viu o Lula se corromper e denunciou na data. #cirogomes #corrupção ... https://t.co/PHSq4k6f7Q via @YouTube,Lula,ciro viu o lula se corromper e denunciou na data.   ...  via 
2022-08-01 22:42:22+00:00,1554236121638490116,@bielvaquer @NoticiasdaTV Isso é igual a escolher entre lula x bolsonaro. Dois lixos,Lula,  isso é igual a escolher entre lula x bolsonaro. dois lixos
